s_m,x_m,y_m,psi_rad,kappa_radpm,vx_realistic_mps,ax_realistic_mps2
1551.6967179,248.2551275,1465.2335796,-1.0028141,-0.0030373,55.9868728126866,0.869484086477065
1553.6963271,249.9439973,1466.3040956,-1.0088772,-0.0030271,56.0179099690764,0.869247340831077
1555.6959363,251.6393728,1467.3644054,-1.0149193,-0.0030162,56.048914039362,0.86880168590834
1557.6955454,253.3411024,1468.4144646,-1.0209396,-0.003005,56.07990233581,0.868840065339881
1559.6951546,255.0490533,1469.4542443,-1.0269371,-0.0029938,56.1108779300074,0.86896381608235
1561.6947638,256.7632706,1470.4838247,-1.0329122,-0.0029823,56.1418352169375,0.868929651245256
1563.694373,258.4835855,1471.503157,-1.0388642,-0.0029708,56.1727797058732,0.869049401952506
1565.6939821,260.2098564,1472.5122117,-1.0447931,-0.0029594,56.2037132877788,0.869221751964149
1567.6935913,261.942151,1473.5110813,-1.0506992,-0.0029479,56.2346266595691,0.869131879938655
1569.6932005,263.6802927,1474.499716,-1.0565826,-0.0029365,56.2655220366329,0.869103451238634
1571.6928097,265.424132,1475.4780842,-1.062443,-0.0029252,56.2964026153656,0.869164178809777
1573.6924188,267.1737518,1476.446284,-1.0682811,-0.002914,56.3272547905332,0.868841016553043
1575.692028,268.928976,1477.4042685,-1.0740968,-0.0029028,56.3580823846748,0.868624189203744
1577.6916372,270.6896484,1478.3520045,-1.0798898,-0.0028916,56.3888901915429,0.868541452021212
1579.6912463,272.4558579,1479.2895904,-1.0856609,-0.0028805,56.419662603268,0.868017462194149
1581.6908555,274.2274364,1480.2169866,-1.0914097,-0.0028693,56.4504046457569,0.867633636386013
1583.6904647,276.0042225,1481.1341595,-1.0971359,-0.0028582,56.481122910776,0.867434644852774
1585.6900739,277.786302,1482.0412037,-1.1028403,-0.0028471,56.511800887477,0.866767937370266
1587.689683,279.5735212,1482.9380897,-1.1085224,-0.0028361,56.5424430033175,0.866224612990639
